"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 03, 2013","1,293.11","1,291.98","1,306.21","1,287.28","-","0.09%"
"Sep 02, 2013","1,291.98","1,290.96","1,301.37","1,290.41","-","0.08%"
"Aug 30, 2013","1,290.96","1,300.67","1,303.57","1,285.42","-","-0.75%"
"Aug 29, 2013","1,300.67","1,299.65","1,312.27","1,296.06","-","0.08%"
"Aug 28, 2013","1,299.65","1,304.33","1,308.02","1,286.12","-","-0.36%"
"Aug 27, 2013","1,304.33","1,324.48","1,326.14","1,298.10","-","-1.52%"
"Aug 26, 2013","1,324.48","1,330.99","1,343.00","1,319.92","-","-0.49%"
"Aug 23, 2013","1,330.99","1,329.05","1,337.60","1,326.97","-","0.15%"
"Aug 22, 2013","1,329.05","1,312.47","1,330.84","1,298.51","-","1.26%"
"Aug 21, 2013","1,312.47","1,317.77","1,328.30","1,305.07","-","-0.40%"
"Aug 20, 2013","1,317.77","1,322.25","1,329.29","1,302.64","-","-0.34%"
"Aug 19, 2013","1,322.25","1,323.42","1,333.22","1,310.87","-","-0.09%"
"Aug 16, 2013","1,323.42","1,327.49","1,341.34","1,316.66","-","-0.31%"
"Aug 15, 2013","1,327.49","1,356.34","1,359.45","1,322.81","-","-2.13%"
"Aug 14, 2013","1,356.34","1,338.85","1,356.88","1,337.07","-","1.31%"
"Aug 13, 2013","1,338.85","1,326.53","1,343.22","1,325.84","-","0.93%"
"Aug 12, 2013","1,326.53","1,325.72","1,329.32","1,317.79","-","0.06%"
"Aug 09, 2013","1,325.72","1,303.28","1,327.66","1,301.84","-","1.72%"
"Aug 08, 2013","1,303.28","1,301.28","1,310.84","1,294.44","-","0.15%"
"Aug 07, 2013","1,301.28","1,304.98","1,311.82","1,294.99","-","-0.28%"
"Aug 06, 2013","1,304.98","1,333.42","1,337.81","1,303.04","-","-2.13%"
"Aug 05, 2013","1,333.42","1,336.39","1,342.73","1,329.46","-","-0.22%"
"Aug 02, 2013","1,336.39","1,331.71","1,342.77","1,320.79","-","0.35%"
"Aug 01, 2013","1,331.71","1,313.38","1,336.27","1,313.38","-","1.40%"
"Jul 31, 2013","1,313.38","1,326.41","1,330.08","1,312.50","-","-0.98%"
"Jul 30, 2013","1,326.41","1,341.34","1,349.87","1,325.01","-","-1.11%"
"Jul 29, 2013","1,341.34","1,348.37","1,352.58","1,340.87","-","-0.52%"
"Jul 26, 2013","1,348.37","1,353.38","1,361.87","1,348.05","-","-0.37%"
"Jul 25, 2013","1,353.38","1,369.36","1,370.93","1,349.09","-","-1.17%"
"Jul 24, 2013","1,369.36","1,379.88","1,385.58","1,364.24","-","-0.76%"
"Jul 23, 2013","1,379.88","1,380.01","1,396.24","1,378.89","-","-0.01%"
"Jul 22, 2013","1,380.01","1,382.33","1,396.75","1,372.81","-","-0.17%"
"Jul 19, 2013","1,382.33","1,377.35","1,398.13","1,368.83","-","0.36%"
"Jul 18, 2013","1,377.35","1,393.05","1,401.64","1,370.43","-","-1.13%"
"Jul 17, 2013","1,393.05","1,368.83","1,394.05","1,366.99","-","1.77%"
"Jul 16, 2013","1,368.83","1,354.54","1,372.48","1,351.15","-","1.05%"
"Jul 15, 2013","1,354.54","1,348.81","1,360.21","1,344.67","-","0.42%"
"Jul 12, 2013","1,348.81","1,322.76","1,348.81","1,322.05","-","1.97%"
"Jul 11, 2013","1,322.76","1,275.29","1,323.85","1,274.71","-","3.72%"
