"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 28, 1993","1,150.37","1,166.78","1,186.21","1,146.90","-","-1.04%"
"Jan 27, 1993","1,162.44","1,149.72","1,162.44","1,113.57","-","5.65%"
"Jan 22, 1993","1,100.31","1,095.61","1,109.59","1,073.64","-","2.42%"
"Jan 21, 1993","1,074.26","1,073.62","1,077.82","1,046.18","-","2.97%"
"Jan 20, 1993","1,043.31","1,016.72","1,050.11","984.74","-","5.19%"
"Jan 19, 1993","991.83","1,031.63","1,064.08","991.83","-","-6.02%"
"Jan 18, 1993","1,055.32","1,065.39","1,078.03","1,052.80","-","-0.79%"
"Jan 15, 1993","1,063.76","1,088.47","1,099.83","1,054.46","-","-2.09%"
"Jan 14, 1993","1,086.43","1,062.18","1,088.60","1,036.03","-","6.09%"
"Jan 13, 1993","1,024.05","991.56","1,024.05","973.30","-","3.73%"
"Jan 12, 1993","987.26","1,016.14","1,028.43","982.15","-","1.01%"
"Jan 11, 1993","977.42","944.14","977.42","901.47","-","9.89%"
"Jan 08, 1993","889.47","889.11","893.86","878.33","-","2.36%"
"Jan 07, 1993","868.97","856.50","868.97","849.53","-","2.54%"
"Jan 06, 1993","847.44","872.22","883.42","843.16","-","-1.31%"
"Jan 05, 1993","858.72","851.02","859.19","817.21","-","5.49%"
"Jan 04, 1993","814.04","802.14","816.64","777.16","-","4.31%"
"Dec 31, 1992","780.39","773.89","784.03","765.41","-","1.68%"
"Dec 30, 1992","767.52","774.35","777.43","767.07","-","-0.18%"
"Dec 29, 1992","768.91","762.40","769.61","754.54","-","1.53%"
"Dec 28, 1992","757.31","764.79","772.29","756.89","-","-0.91%"
"Dec 25, 1992","764.28","776.30","781.36","761.89","-","0.75%"
"Dec 24, 1992","758.59","731.55","758.59","731.31","-","3.63%"
"Dec 23, 1992","732.05","729.00","736.27","721.44","-","0.86%"
"Dec 22, 1992","725.78","731.58","731.90","724.74","-","-0.81%"
"Dec 21, 1992","731.68","698.31","731.68","697.70","-","4.81%"
"Dec 18, 1992","698.13","706.46","721.26","690.45","-","-1.37%"
"Dec 17, 1992","707.82","693.41","707.82","685.65","-","3.21%"
"Dec 16, 1992","685.82","686.02","690.25","663.17","-","0.52%"
"Dec 15, 1992","682.24","697.86","713.90","682.24","-","-3.24%"
"Dec 14, 1992","705.07","704.23","748.19","668.07","-","-2.38%"
"Dec 11, 1992","722.28","639.72","735.62","628.91","-","15.52%"
"Dec 10, 1992","625.23","668.46","693.41","592.78","-","-7.57%"
"Dec 09, 1992","676.45","737.94","752.89","661.66","-","-10.28%"
"Dec 08, 1992","753.94","796.63","811.57","743.90","-","-4.96%"
"Dec 07, 1992","793.25","765.87","803.12","757.34","-","-1.71%"
"Dec 04, 1992","807.02","833.23","841.02","807.02","-","-0.15%"
"Dec 03, 1992","808.20","760.65","826.06","739.03","-","11.91%"
"Dec 02, 1992","722.20","694.88","722.20","690.63","-","0.76%"
"Dec 01, 1992","716.74","718.99","749.89","713.85","-","-1.08%"
"Nov 30, 1992","724.60","682.08","727.13","637.67","-","13.63%"
"Nov 27, 1992","637.67","593.68","682.40","490.54","-","13.46%"
"Nov 26, 1992","562.01","674.74","752.32","562.01","-","-1.68%"
"Nov 25, 1992","571.63","485.16","571.63","441.54","-","29.90%"
"Nov 24, 1992","440.04","414.84","448.44","410.81","-","7.22%"
"Nov 23, 1992","410.39","404.05","410.57","401.82","-","2.23%"
"Nov 20, 1992","401.44","394.90","401.44","394.31","-","0.62%"
"Nov 19, 1992","398.95","409.61","412.23","395.16","-","-2.12%"
"Nov 18, 1992","407.61","400.01","407.61","389.59","-","3.58%"
"Nov 17, 1992","393.52","390.09","399.08","386.85","-","-1.45%"
"Nov 16, 1992","399.32","402.02","415.64","397.63","-","-3.57%"
"Nov 13, 1992","414.09","418.49","421.67","413.30","-","-0.41%"
"Nov 12, 1992","415.79","408.42","416.22","402.33","-","1.37%"
"Nov 11, 1992","410.16","402.79","410.16","388.32","-","2.40%"
"Nov 10, 1992","400.53","404.49","428.34","391.17","-","-6.55%"
"Nov 09, 1992","428.61","439.81","459.04","424.68","-","-6.22%"
"Nov 06, 1992","457.05","460.54","468.59","455.73","-","-1.21%"
"Nov 05, 1992","462.63","460.96","470.89","457.03","-","-1.55%"
"Nov 04, 1992","469.90","474.82","481.60","465.09","-","-2.07%"
"Nov 03, 1992","479.81","481.34","487.07","465.60","-","0.46%"
"Nov 02, 1992","477.61","471.18","508.81","465.55","-","-5.84%"
"Oct 30, 1992","507.25","494.66","507.25","484.45","-","4.75%"
"Oct 29, 1992","484.25","468.72","484.51","455.22","-","4.54%"
"Oct 28, 1992","463.21","466.73","470.98","447.93","-","2.87%"
"Oct 27, 1992","450.28","465.75","506.28","448.28","-","-11.18%"
"Oct 26, 1992","506.94","539.50","561.50","504.81","-","-9.43%"
"Oct 23, 1992","559.73","534.41","577.52","524.07","-","3.69%"
"Oct 22, 1992","539.80","557.03","584.91","535.79","-","-7.84%"
"Oct 21, 1992","585.70","597.15","616.29","577.23","-","-4.96%"
"Oct 20, 1992","616.29","634.43","663.65","604.50","-","-2.55%"
"Oct 19, 1992","632.40","643.80","667.46","632.40","-","-4.87%"
"Oct 16, 1992","664.75","664.00","668.57","661.20","-","0.18%"
"Oct 15, 1992","663.53","654.33","667.00","650.92","-","-0.03%"
"Oct 14, 1992","663.75","661.07","673.94","648.84","-","-1.52%"
"Oct 13, 1992","673.99","694.10","701.30","669.56","-","-2.40%"
"Oct 12, 1992","690.57","687.45","713.77","661.99","-","4.59%"
"Oct 09, 1992","660.29","664.44","668.73","643.68","-","2.58%"
"Oct 08, 1992","643.69","648.96","671.67","640.22","-","-3.24%"
"Oct 07, 1992","665.26","676.56","676.84","664.43","-","-1.33%"
"Oct 06, 1992","674.24","682.92","692.62","664.27","-","-0.79%"
